,INCI,SMILES
1050,Magnesium Ascorbyl Phosphate,"C(C(C1C(=C(C(=O)O1)OP(=O)([O-])[O-])[O-])O)O.C(C(C1C(=C(C(=O)O1)OP(=O)([O-])[O-])[O-])O)O.[Mg+2].[Mg+2].[Mg+2]
C(C(C1C(=C(C(=O)O1)OP(=O)([O-])[O-])O)O)O.[Mg+2]
C(C(C1C(=C(C(=O)O1)OP(=O)(O)[O-])[O-])O)O.[Mg+2]"
1051,Undecanoic Acid,CCCCCCCCCCC(=O)O
1052,Dihydroxypropyl Arginine HCl,C(CC(C(=O)O)NCC(CO)O)CN=C(N)N.Cl
1053,Dihydrogenated Tallowamidoethyl Hydroxyethylmonium Methosulfate,
1054,Stearoyl Glutamic Acid,CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O
1055,Althaea Rosea Flower Extract,
1056,Citrus Aurantium Tachibana Peel Extract,
1057,Beta Vulgaris (Beet) Root Extract,
1058,Capryloyl Glycine,CCCCCCCC(=O)NCC(=O)O
1059,Glycolic Acid,C(C(=O)O)O
1060,Basic Violet 2,CC1=CC(=C(C2=CC(=C(C=C2)N)C)C3=CC(=C(C=C3)N)C)C=CC1=N.Cl
1061,Atractylodes Chinensis Rhizome Extract,
1062,Trioctyldodecyl Citrate,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(CC(=O)OCC(CCCCCCCC)CCCCCCCCCC)(C(=O)OCC(CCCCCCCC)CCCCCCCCCC)O
1063,PEG-75,
1064,Calcium Aluminum Borosilicate,
1065,Hydrogenated Hemp Seed Oil,
1066,Polyquaternium-51,
1067,Carbomer,
1068,Rhodomyrtus Tomentosa Fruit Extract,
1069,Aristotelia Chilensis Fruit Extract,
1070,Lauryl Betaine,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-]
1071,Ascorbyl Isostearate,CC(C)CCCCCCCCCCCCCCC(=O)OCC(C1C(=C(C(=O)O1)O)O)O
1072,Tetrahexyldecyl Ascorbate,"CCCCCCCCC(CCCCCC)C(=O)OCC(C1C(=C(C(=O)O1)OC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC
CCCCCCCCC(CCCCCC)C(=O)OCC(C1C(=C(C(=O)O1)OC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC"
1073,Bacillus Ferment,
1074,PEG-75 Lanolin,
1075,Pelvetia Canaliculata Extract,
1076,Annatto,CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)O)C=CC=C(C)C=CC(=O)O
1077,CI 61565,CC1=CC=C(C=C1)NC2=C3C(=C(C=C2)NC4=CC=C(C=C4)C)C(=O)C5=CC=CC=C5C3=O
1078,Cellulose Gum,
1079,Citrus Limon (Lemon) Peel Wax,
1080,Zinc Acetylmethionate,CC(=O)NC(CCSC)C(=O)[O-].CC(=O)NC(CCSC)C(=O)[O-].[Zn+2]
1081,Boswellia Serrata Resin Extract,
1082,Bombax Costatum Flower Extract,
1083,Safflower Oil/Palm Oil Aminopropanediol Esters,
1084,Glycyrrhiza Glabra (Licorice) Root Extract,
1085,Hydrogenated Ethylhexyl Olivate,
1086,Dipotassium Glycyrrhizate,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)[O-])O)O)OC5C(C(C(C(O5)C(=O)[O-])O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.[K+].[K+]
1087,PEG-18 Glyceryl Oleate/Cocoate,
1088,Bambusa Vulgaris Stem Extract,
1089,Cannabisamidopropyl Hydroxysultaine,
1090,Camellia Kissi Seed Oil,
1091,Acetyl Dipeptide-1 Cetyl Ester,CCCCCCCCCCCCCCCCOC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C
1092,Sodium Cocoyl Glycinate,CCCCCCCCCCCC(=O)NCC(=O)[O-].[Na+]
1093,Piper Nigrum (Pepper) Seed Oil,
1094,Sambucus Nigra Flower Extract,
1095,Indoleacetyl Glutamic Acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)NC(CCC(=O)O)C(=O)O
1096,Laureth-7,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO
1097,Glyceryl Ascorbate,"C(C(COC1=C(C(OC1=O)C(CO)O)O)O)O
C(C(COC1=C(C(OC1=O)C(CO)O)O)O)O
C(C(COC1=C(C(OC1=O)C(CO)O)O)O)O
C(C(COC1=C(C(OC1=O)C(CO)O)O)O)O"
1098,Dextrin Palmitate,CCCCCCCCCCCCCCCC(=O)O.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
1099,Dipentaerythrityl Hexahydroxystearate,CCCCCCC(CCCCCCCCCCC(=O)OCC(COCC(COC(=O)CCCCCCCCCCC(CCCCCC)O)(COC(=O)CCCCCCCCCCC(CCCCCC)O)COC(=O)CCCCCCCCCCC(CCCCCC)O)(COC(=O)CCCCCCCCCCC(CCCCCC)O)COC(=O)CCCCCCCCCCC(CCCCCC)O)O
1100,PPG-2 Cocamine,
1101,Aristotelia Chilensis Leaf Extract,
1102,Pentylene Glycol,
1103,Olive Oil Decyl Esters,
1104,Sodium Hydroxide,[OH-].[Na+]
1105,Polygonum Tinctorium Leaf Extract,
1106,Atractylodes Macrocephala Root Extract,
1107,Polysorbate 20,
1108,Red 6,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
1109,Pigment Violet 23,
1110,Lauryl Alcohol,CCCCCCCCCCCCO
1111,Triisostearin,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C
1112,Codium Tomentosum Extract,
1113,Psidium Guajava Fruit Extract,
1114,CI 12085,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl)O
1115,Cocamidopropyl PG-Dimonium Chloride,
1116,Phytosterols,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
1117,Bacillus/Folic Acid Ferment Filtrate Extract,
1118,Hydrolyzed Silk,
1119,Melaleuca Alternifolia (Tea Tree) Leaf Extract,
1120,Cocoglucosides Hydroxypropyltrimonium Chloride,
1121,Coco-Glucoside,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
1122,Acorus Gramineus Root/Stem Extract,
1123,Cocos Nucifera (Coconut) Fruit Juice,
1124,Commiphora Mukul Resin Extract,
1125,Myristyl Betaine,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-]
1126,Astragalus Membranaceus Extract,
1127,Ethyl Ferulate,CCOC(=O)C=CC1=CC(=C(C=C1)O)OC
1128,Beeswax,
1129,Pimpinella Anisum (Anise) Fruit Extract,
1130,PEG/PPG-25/25 Dimethicone,
1131,Sodium Cocoyl Isethionate,
1132,Magnesium Hydroxide,[OH-].[OH-].[Mg+2]
1133,Sucrose Laurate,CCCCCCCCCCCC(=O)OC1(C(C(C(C(O1)CO)O)O)O)C2(C(C(C(O2)CO)O)O)CO
1134,Echinacea Angustifolia Root Extract,
1135,VA/Butyl Maleate/Isobornyl Acrylate Copolymer,
1136,Malva Sylvestris (Mallow) Flower Extract,
1137,Caprylyl Methicone,CCCCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
1138,PEG-7 Glyceryl Cocoate,
1139,Lysolecithin,
1140,Oleic Acid,CCCCCCCCC=CCCCCCCCC(=O)O
1141,Calcium Thioglycolate,C(C(=O)[O-])S.C(C(=O)[O-])S.[Ca+2]
1142,Solvent Red 72,C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O
1143,C12-15 Alkyl Lactate,
1144,Vateria Indica Seed Butter,
1145,Illite,[OH-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[O-][Si]12O[Si](O1)(O2)[O-].[F-].[Mg+2].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[K+].[K+].[K+].[Fe+2]
1146,Salvia Officinalis (Sage) Oil,
1147,Zea Mays (Corn) Cob Powder,
1148,Veronica Officinalis Flower/Leaf/Stem Extract,
1149,Chromium Oxide Greens,
1150,Artemisia Annua Extract,
1151,Ethylene/Propylene Copolymer,
1152,Alpha-Glucan Hydroxypropyltrimonium Chloride,
1153,Glyceryl Stearate Citrate,
1154,PPG-1 Trideceth-6,
1155,Polyquaternium-10,
1156,Hydrolyzed Yeast Extract,
1157,Glycine Soja (Soybean) Extract,
1158,Epiphyllum Oxypetalum Flower Extract,
1159,Buddleja Davidii Extract,
1160,Behenamidopropyl Dimethylamine Behenate,CCCCCCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C.CCCCCCCCCCCCCCCCCCCCCC(=O)O
1161,Ceteareth-6,
1162,Gossypium Herbaceum (Cotton) Seed Extract,
1163,VP/Vinyl Caprolactam/DMAPA Acrylates Copolymer,
1164,Polyquaternium-37,
1165,Myristyl Laurate,CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC
1166,Inulin Lauryl Carbamate,
1167,Dimethyl Isosorbide,COC1COC2C1OCC2OC
1168,Hedychium Coronarium Root Extract,
1169,Astrocaryum Tucuma Seed Butter,
1170,Tetrasodium Tetracarboxymethyl Naringeninchalcone,
1171,Quaternium-75,
1172,CI 73360,CC1=CC(=CC2=C1C(=O)C(=C3C(=O)C4=C(S3)C=C(C=C4C)Cl)S2)Cl
1173,Acetyl Dipeptide-3 Aminohexanoate,CC(C(=O)O)NC(=O)CCCCCNC(=O)C(CCCN=C(N)N)NC(=O)C
1174,Boron Nitride,B#N
1175,Helianthus Annuus (Sunflower) Seed Wax,
1176,Molasses,
1177,Candelilla Cera,
1178,Halopteris Scoparia Extract,
1179,Serenoa Serrulata Fruit Extract,
1180,Siloxanetriol Alginate,
1181,Azelaoyl Bis-Dipeptide-10,
1182,Naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
1183,Myroxylon Balsamum (Balsam Tolu) Resin,
1184,Titanium Dioxide,O=[Ti]=O
1185,Tapioca Starch,
1186,HDI/Trimethylol Hexyllactone Crosspolymer,
1187,Potassium Alum,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+]
1188,Boronia Megastigma Flower Oil,
1189,Asparagus Officinalis Stem Extract,
1190,Acetyl Tetrapeptide-3,CC(=O)NC(CCCCN)C(=O)NCC(=O)NC(CC1=CN=CN1)C(=O)NC(CCCCN)C(=O)N
1191,Ziziphus Joazeiro Bark Extract,
1192,Beta-Sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
1193,Laminaria Ochroleuca Extract,
1194,Glycerin,C(C(CO)O)O
1195,Bifida Ferment Filtrate,
1196,PTFE,
1197,Ammonium Polyacrylate,
1198,PEG-100 Stearate,
1199,Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,
1200,Acetyl sh-Pentapeptide-1,
1201,Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer,
1202,Sambucus Nigra Fruit Extract,
1203,Acetyl Methionine,CC(=O)NC(CCSC)C(=O)O
1204,Cetearyl Alcohol,CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO
1205,Lactobacillus Ferment Lysate,
1206,Hydrogenated Soybean Oil,
1207,Panthenyl Hydroxypropyl Steardimonium Chloride,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(COCC(C)(C)C(C(=O)NCCCO)O)O.[Cl-]
1208,Allium Cepa (Onion) Bulb Extract,
1209,Cinnamomum Cassia Bark Extract,
1210,Placental Protein,
1211,Sodium Methyl 2-Sulfolaurate,CCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+]
1212,Alaria Esculenta Extract,
1213,Diisostearyl Malate,CC(C)CCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCCCCCCCCCCCCCCCC(C)C)O
1214,Sclerotium Gum,
1215,PEG-20 Glyceryl Triisostearate,CC(C)CCCCCCCCCCCCCCC(=O)OCCOCC(COCCOC(=O)CCCCCCCCCCCCCCC(C)C)OCCOC(=O)CCCCCCCCCCCCCCC(C)C
1216,Trihydroxystearin,CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(CCCCCC)O)OC(=O)CCCCCCCCCCC(CCCCCC)O)O
1217,Tetrapeptide-44,
1218,Ammonium Chloride,[NH4+].[Cl-]
1219,Saccharomyces/Manganese Ferment,
1220,Hydroxyethylpiperazine Ethane Sulfonic Acid,C1CN(CCN1CCO)CCS(=O)(=O)O
1221,Polyvinyl Chloride,
1222,Charcoal Powder,
1223,Dicaprylyl Maleate,CCCCCCCCOC(=O)C=CC(=O)OCCCCCCCC
1224,PEG-8 Beeswax,
1225,Acid Violet 43,CC1=CC(=C(C=C1)NC2=C3C(=C(C=C2)O)C(=O)C4=CC=CC=C4C3=O)S(=O)(=O)[O-].[Na+]
1226,Sodium C10-13 Alkyl Benzenesulfonate,
1227,Nannochloropsis Gaditana Extract,
1228,Azelaic Acid,C(CCCC(=O)O)CCCC(=O)O
1229,Isohexadecene,CC(C)CCCCCCCCCCCC=C
1230,Cellulose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
1231,Virola Surinamensis Seed Butter,
1232,Isochrysis Galbana Extract,
1233,Pongamia Glabra Seed Oil,
1234,Microcrystalline Cellulose,
1235,Polyimide-1,
1236,Prunus Persica (Peach) Kernel Oil,
1237,Butyl Acrylate/Isobornyl Methacrylate Copolymer,
1238,Acetyl Tyrosine,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O
1239,Vaccinium Myrtillus Leaf Extract,
1240,Sodium Cocoyl Hydrolyzed Pea Protein,
1241,Iron Titanium Oxide,[O-2].[O-2].[O-2].[Ti+4].[Fe+2]
1242,Stearyl Glycyrrhetinate,CCCCCCCCCCCCCCCCCCOC(=O)C1(CCC2(CCC3(C(=CC(=O)C4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C
1243,Rubus Fruticosus (Blackberry) Fruit Extract,
1244,Thamnolia Vermicularis Leaf Extract,
1245,Hexyl Laurate,CCCCCCCCCCCC(=O)OCCCCCC
1246,Oryza Sativa (Rice) Seed Extract,
1247,Eugenia Caryophyllus (Clove) Flower Extract,
1248,Polyethylene,
1249,Sodium Lauryl Sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
1250,Chlorophyllin-Copper Complex,
1251,Serine,C(C(C(=O)O)N)O
1252,Saururus Chinensis Flower/Leaf/Stem Extract,
1253,Prunus Avium (Sweet Cherry) Flower Extract,
1254,Black 2,C
1255,Cordyceps Militaris Extract,
1256,Triethoxycaprylylsilane,CCCCCCCC[Si](OCC)(OCC)OCC
1257,PEG/PPG-4/12 Dimethicone,
1258,Lecithin,"CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC"
1259,Aleurites Moluccanus Seed Oil,
1260,Soyethyl Morpholinium Ethosulfate,
1261,Red 7 Lake,
1262,Lycium Barbarum Fruit Extract,
1263,Bassia Latifolia Seed Butter,
1264,Laureth-23,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
1265,Ceramide NS,CCCCCCCCCCCCCCCCCC(=O)NC(CO)C(CCCCCCCCCCCCCCC)O
1266,Pfaffia Paniculata Root Extract,
1267,Mineral Oil,CCCCCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
1268,Hexapeptide-42,CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(C)C(=O)NC(CS)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)O)N
1269,Ethyl Macadamiate,
1270,Tricaprylyl Citrate,CCCCCCCCOC(=O)CC(CC(=O)OCCCCCCCC)(C(=O)OCCCCCCCC)O
1271,Oenothera Biennis (Evening Primrose) Oil,
1272,Hippophae Rhamnoides Fruit Oil,
1273,Triceteareth-4 Phosphate,
1274,Hordeum Vulgare Seed Extract,
1275,Polypropylene Terephthalate,
1276,Eugenia Uniflora Fruit Extract,
1277,Astaxanthin,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
1278,Crithmum Maritimum Extract,
1279,Cetyl Laurate,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC
1280,Mel Extract,
1281,Dehydroxanthan Gum,
1282,Angelica Keiskei Leaf/Stem Extract,
1283,Melanin,CC1=C2C3=C(C4=CNC5=C(C(=O)C(=O)C(=C45)C3=CN2)C)C(=O)C1=O
1284,CI 73015,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+]
1285,Arnica Montana Flower Water,
1286,Alteromonas Ferment Extract,
1287,Orbignya Oleifera Seed Oil,
1288,Borago Officinalis Seed Oil,
1289,Ceramide EOP,CCCCCCCCCCCCCCC(C(C(CO)NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC=CCC=CCCCCC)O)O
1290,Mica,O.[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[F-].[F-].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[K+].[K+]
1291,Isodecyl Neopentanoate,CC(C)CCCCCCCOC(=O)C(C)(C)C
1292,Salvia Sclarea (Clary) Flower/Leaf/Stem Oil,
1293,PEG-60 Hydrogenated Castor Oil,
1294,C11-12 Isoalkane (Formerly C11-12 Isoparaffin),
1295,Cetrimonium Chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
1296,Acrylates/Lauryl Acrylate/Stearyl Acrylate/Ethylamine Oxide Methacrylate Copolymer,
1297,Lactococcus Ferment Lysate,
1298,Poria Cocos Extract,
1299,Trehalose,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
1300,Menthyl Lactate,"CC1CCC(C(C1)OC(=O)C(C)O)C(C)C
CC1CCC(C(C1)OC(=O)C(C)O)C(C)C
CC1CCC(C(C1)OC(=O)C(C)O)C(C)C
CC1CCC(C(C1)OC(=O)C(C)O)C(C)C"
1301,Caprylyl/Capryl Glucoside,
1302,Hydroxypropyl Methylcellulose,
1303,4-Hydroxypropylamino-3-Nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])NCCCO
1304,Silicone Quaternium-17,
1305,DMDM Hydantoin,CC1(C(=O)N(C(=O)N1CO)CO)C
1306,Carthamus Tinctorius (Safflower) Seed Oil,
1307,Haematococcus Pluvialis Extract,
1308,Alanine,"CC(C(=O)O)N
CC(C(=O)O)N
CC(C(=O)O)N"
1309,Cholesteryl Isostearate,CC(C)CCCCCCCCCCCCCCC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4C(C)CCCC(C)C)C)C
1310,Gynostemma Pentaphyllum Leaf Extract,
1311,Moringa Oleifera Seed Oil,
1312,Acrylates/Octylacrylamide Copolymer,
1313,Alanine/Histidine/Lysine Polypeptide Copper HCl,
1314,Hydrolyzed Eruca Sativa Leaf,
1315,Polyquaternium-7,
1316,Solvent Red 43,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Br)O)Br)Br)O)Br
1317,Cocos Nucifera (Coconut) Liquid Endosperm,
1318,Olealkonium Chloride,CCCCCCCCC=CCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
1319,Tilia Tomentosa Bud Extract,
1320,Nisin,
1321,Glycoproteins,CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)N)NC(=O)C)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)NC(=O)C)O
1322,Chamomilla Recutita (Matricaria) Extract,
1323,C9-11 Alketh-6 (Formerly C9-11 Pareth-6),
1324,Camellia Sinensis Leaf Powder,
1325,Octyldodecyl Stearoyl Stearate,CCCCCCCCCCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)OCC(CCCCCCCC)CCCCCCCCCC
1326,Disodium Cocoamphodipropionate,C(CN(CCN)CCOCCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
1327,Commiphora Myrrha Oil,
1328,Achillea Millefolium Extract,
1329,Adansonia Digitata Seed Extract,
1330,Dodecylbenzene Sulfonic Acid,CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)O
1331,Citrus Reticulata (Tangerine) Fruit Extract,
1332,C26-28 Alkyl Dimethicone,
1333,Tridecane,CCCCCCCCCCCCC
1334,PEG-7 Amodimethicone,
1335,Acrylates/Vinyl Neodecanoate Crosspolymer,
1336,Distarch Phosphate,
1337,Zea Mays (Corn) Starch,
1338,Polyglyceryl-6 Polyricinoleate,
1339,Copernicia Cerifera (Carnauba) Wax,
1340,Juglans Regia (Walnut) Seed Oil,
1341,Lithothamnion Calcareum Powder,
1342,"N,N'-Bis(2-Hydroxyethyl)-2-Nitro-p-Phenylenediamine",C1=CC(=C(C=C1NCCO)[N+](=O)[O-])NCCO
1343,Shorea Robusta Resin,
1344,Bis-PEG/PPG-20/20 Dimethicone,
1345,Sodium Benzoate,C1=CC=C(C=C1)C(=O)[O-].[Na+]
1346,Hydrolyzed Prunus Domestica,
1347,Potassium Palmitoyl Hydrolyzed Oat Protein,
1348,Sodium Trideceth Sulfate,CCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
1349,Camellia Japonica Flower Extract,
1350,Diethylhexyl Adipate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
1351,Punica Granatum Seed Oil,
1352,Sapindus Mukorossi Fruit Extract,
1353,Elaeis Guineensis (Palm) Butter,
1354,Wasabia Japonica Root Extract,
1355,Phenethyl Alcohol,C1=CC=C(C=C1)CCO
1356,Behenic Acid,CCCCCCCCCCCCCCCCCCCCCC(=O)O
1357,Prunus Armeniaca (Apricot) Seed Powder,
1358,Cocoa Butter Ethyl Esters,
1359,Xylitylglucoside,C(C1C(C(C(C(O1)OCC(C(C(CO)O)O)O)O)O)O)O
1360,Maltodextrin,"C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O"
1361,Olea Europaea (Olive) Oil Unsaponifiables,
1362,Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
1363,Hydrated Silica,O.O=[Si]=O
1364,Vinyl Caprolactam/VP/Dimethylaminoethyl Methacrylate Copolymer,
1365,Caesalpinia Spinosa Gum,
1366,Red 21 Lake,
1367,Wheat Amino Acids,
1368,Bambusa Arundinacea Stem Extract,
1369,Behenyl/Oleyl Behenate/Oleate Esters,
1370,Ergothioneine,C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-]
1371,Behentrimonium Methosulfate,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-]
1372,Cucurbita Pepo (Pumpkin) Seed Extract,
1373,Phosphatidylcholine,
1374,Hydrogenated Phosphatidylcholine,
1375,Epilobium Angustifolium Flower/Leaf/Stem Extract,
1376,Citrus Grandis (Grapefruit) Fruit Extract,
1377,Xylitol,C(C(C(C(CO)O)O)O)O
1378,Ethylene/VA Copolymer,
1379,Ceramide AS,
1380,Houttuynia Cordata Extract,
1381,Anthriscus Cerefolium Extract,
1382,Carbon,[C]
1383,Ammonium Laureth Sulfate,CCCCCCCCCCCCOCCOS(=O)(=O)O.N
1384,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O
1385,Alumina,O=[Al]O[Al]=O
1386,Polymethylsilsesquioxane,
1387,HC Blue No. 15,CC1=CC(=CC(=C1N)C)C(=C2C=C(C(=N)C(=C2)C)C)C3=C(C=CC=C3Cl)Cl.OP(=O)(O)O
1388,Laureth-9,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
1389,Steapyrium Chloride,CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[N+]1=CC=CC=C1.[Cl-]
1390,Sophora Flavescens Root Extract,
1391,Propylene Glycol,CC(CO)O
1392,Crotonic Acid/Vinyl C8-12 Isoalkyl Esters/VA/Bis-Vinyldimethicone Crosspolymer,
1393,Hydroxypropyl Guar,
1394,Centella Asiatica Leaf Vesicles,
1395,Sorbic Acid,CC=CC=CC(=O)O
1396,Bis-PEG-15 Methyl Ether Dimethicone,
1397,PEG/PPG-120/10 Trimethylolpropane Trioleate,
1398,Polyurethane Crosspolymer-1,
1399,Soybean Glycerides,
1400,Jasminum Grandiflorum (Jasmine) Flower Extract,
1401,Coco-Caprylate/Caprate,
1402,Polylactate/Ricinoleate,
1403,Stearamidopropyl PG-Dimonium Chloride Phosphate,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(COP(=O)(OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCCC)O)OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCCC)O)O.[Cl-].[Cl-].[Cl-]
1404,Hydrolyzed Wheat Protein,
1405,Polyester-37,
1406,Diatomaceous Earth,
1407,Maltodextrin/VP Copolymer,
1408,Panax Ginseng Root Extract,
1409,Hydrogenated Palm Acid,
1410,7-Dehydrocholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
1411,Oleth-2,CCCCCCCCC=CCCCCCCCCOCCOCCO
1412,Fructooligosaccharides,C(C1C(C(C(O1)(CO)O)O)O)O
1413,Pyridoxine,CC1=NC=C(C(=C1O)CO)CO
1414,Rubus Idaeus (Raspberry) Seed Oil,
1415,Red 40 Lake,
1416,Thymus Vulgaris (Thyme) Flower/Leaf/Stem Extract,
1417,Dimethicone/Vinyl Dimethicone Crosspolymer,
1418,Cyclopentasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C
